email,event,date
john.doe@gmail.com,birthday,2023-09-15
jane.doe@gmail.com,work anniversary,2023-10-01
peter.pan@gmail.com,wedding anniversary,2023-04-03
snow.white@gmail.com,christmas,2023-12-25
mary.poppins@gmail.com,birthday,2023-09-16
alice.inwonderland@gmail.com,work anniversary,2023-10-02
winnie.the.pooh@gmail.com,wedding anniversary,2023-06-15
piglet@gmail.com,christmas,2023-12-25
eeyore@gmail.com,birthday,2023-09-17
tigger@gmail.com,work anniversary,2023-10-03
rabbit@gmail.com,wedding anniversary,2023-09-22
kanga@gmail.com,christmas,2023-12-25
roo@gmail.com,birthday,2023-09-18
cheshire.cat@gmail.com,work anniversary,2023-10-04
mad hatter@gmail.com,wedding anniversary,2023-07-12
dormouse@gmail.com,christmas,2023-12-25
queen.of.hearts@gmail.com,birthday,2023-09-19
king.of.hearts@gmail.com,work anniversary,2023-10-05
jack.of.hearts@gmail.com,wedding anniversary,2023-08-18
queen.of.diamonds@gmail.com,christmas,2023-12-25
king.of.diamonds@gmail.com,birthday,2023-09-20
jack.of.diamonds@gmail.com,work anniversary,2023-10-06
queen.of.clubs@gmail.com,wedding anniversary,2023-03-17
king.of.clubs@gmail.com,christmas,2023-12-25
jack.of.clubs@gmail.com,birthday,2023-09-21
queen.of.spades@gmail.com,work anniversary,2023-10-07
king.of.spades@gmail.com,wedding anniversary,2023-11-21
jack.of.spades@gmail.com,christmas,2023-12-25
